City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,pacific grove,36.6177,-121.9166,20.36,77,0,6.69,US,1686614995
336,lijiang,26.8688,100.2207,12.45,94,98,0.65,CN,1686614995
337,kattivakkam,13.2167,80.3167,30.04,75,95,6.21,IN,1686614995
338,fort st. john,56.2499,-120.8529,23.94,35,100,6.69,CA,1686614771
339,guaruja,-23.9931,-46.2564,22.72,26,91,5.77,BR,1686614996
340,labytnangi,66.6572,66.4183,4.93,56,53,2.81,RU,1686614996
341,villas,26.5504,-81.8687,31.12,73,0,4.63,US,1686614996
342,sinabang,2.4803,96.3801,26.7,79,85,0.23,ID,1686614997
343,vila do maio,15.1333,-23.2167,24.02,89,90,6.51,CV,1686614997
344,kavaratti,10.5669,72.642,29.39,75,94,9.93,IN,1686614727
345,banyo,6.75,11.8167,17.86,97,93,1.69,CM,1686614998
346,black point,-34.6187,137.8972,13.81,66,17,10.44,AU,1686614998
347,saint-philippe,-21.3585,55.7679,21.77,77,1,3.2,RE,1686614998
348,bamboo flat,11.7,92.7167,27.89,85,96,8.0,IN,1686614998
349,labrador city,52.9463,-66.9114,18.95,32,20,2.06,CA,1686614783
350,salekhard,66.53,66.6019,4.75,57,49,3.32,RU,1686614999
351,margate,51.3813,1.3862,15.94,77,21,2.24,GB,1686614999
352,vilyuchinsk,52.9306,158.4028,22.15,49,0,2.28,RU,1686614932
353,biharamulo,-2.6319,31.3089,17.22,70,73,0.87,TZ,1686615000
354,papao,-17.75,-149.55,29.82,68,3,8.91,PF,1686615000
355,zhangye,38.9342,100.4517,24.37,19,0,4.18,CN,1686615000
356,anloga,5.7947,0.8973,26.32,70,16,5.57,GH,1686615001
357,riviere-du-loup,47.8304,-69.5342,16.6,73,39,0.31,CA,1686615001
358,tsiombe,-25.3,45.4833,17.72,97,20,2.06,MG,1686614964
359,quepos,9.4236,-84.1652,27.44,85,80,0.77,CR,1686614733
360,santa terezinha,-29.9002,-50.0904,9.74,68,81,4.37,BR,1686615002
361,coquimbo,-29.9533,-71.3436,10.85,81,40,2.57,CL,1686614421
